Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
33db9415-3f9d-4a42-9f57-efa49b85a819,"2020-05-16, 04:16:23 AM",root,ConsoleLogin,,,,us-east-1,,183.83.141.244
832b4f56-1ff6-4a0d-8a19-9537d32f8c2f,"2020-05-16, 04:05:59 AM",Accountant,ChangePassword,,,,us-east-1,,AWS Internal
7fa7c33f-d567-458c-b894-90ef486b1f82,"2020-05-16, 04:03:24 AM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,183.83.141.244
f41114e1-7ba4-4cce-a76c-a9ff4246ca29,"2020-05-16, 04:03:23 AM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,183.83.141.244
0356ce4f-b7ae-4e54-98f5-63494f3f33ed,"2020-05-16, 04:03:22 AM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::934842325144:user/Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDA5TKHR3CMFMGCQNFVP""}]",,us-east-1,,183.83.141.244
c80e090e-d0c8-4bba-aab8-028a81f165b9,"2020-05-16, 04:02:13 AM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,183.83.141.244
85848575-5aa2-4698-baf6-80a36474e48d,"2020-05-16, 04:02:12 AM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,183.83.141.244
da1c1674-652c-49d3-b670-35cd1d785be2,"2020-05-16, 04:02:11 AM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::934842325144:user/CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDA5TKHR3CMMRQTILSO7""}]",,us-east-1,,183.83.141.244
436f4b4b-3561-4c07-9acd-dee917c193c9,"2020-05-16, 04:00:09 AM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::934842325144:group/Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPA5TKHR3CMG54LQFHZR""}]",,us-east-1,,183.83.141.244
77068412-4fe4-4207-979d-bec208c12b4a,"2020-05-16, 04:00:09 AM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,183.83.141.244
1bef2af1-c48b-4bad-90cc-aa85de430483,"2020-05-16, 03:59:37 AM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPA5TKHR3CMD6NYP7FRV""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::934842325144:group/CloudTrailAdmins""}]",,us-east-1,,183.83.141.244
3475a4a2-2cfa-4df2-b2e2-8e8dac95cbb0,"2020-05-16, 03:59:37 AM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,183.83.141.244
c6c9296b-8d53-4b1c-a2cd-06d1341381cf,"2020-05-16, 03:59:37 AM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailFullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,183.83.141.244
a2dd2caa-8493-4c2c-9563-537fa4103e29,"2020-05-16, 03:54:32 AM",root,UpdateAccountPasswordPolicy,,,,us-east-1,,183.83.141.244
3f20881c-1dd2-49a9-b46f-46d3b4218600,"2020-05-16, 03:48:04 AM",root,ConsoleLogin,,,,us-east-1,,183.83.141.244
